id,value
0,29085
1,24798
2,99967
3,91378
4,28654
5,96181
6,50971
7,62637
8,46744
9,60174
10,18363
11,20565
12,49956
13,4020
14,47911
15,90168
16,25472
17,84964
18,45742
19,79737
20,11588
21,78736
22,22178
23,96176
24,65150
25,71745
26,93367
27,37366
28,35023
29,99798
30,96173
31,58984
32,52965
33,26137
34,65691
35,17194
36,23760
37,94621
38,96697
39,95760
40,94930
41,90104
42,60441
43,36376
44,13053
45,87349
46,76431
47,4406
48,28471
49,72268
50,45183
51,38701
52,93100
53,74854
54,32397
55,53829
56,7081
57,61859
58,57618
59,85766
60,9173
61,99065
62,81154
63,98004
64,73070
65,7975
66,1880
67,94023
68,67242
69,9793
70,75517
71,14210
72,59426
73,70750
74,38103
75,30554
76,98572
77,37175
78,72541
79,90833
80,86793
81,76109
82,87524
83,5501
84,61840
85,17886
86,87550
87,15131
88,46592
89,30724
90,377
91,24006
92,86265
93,44258
94,93973
95,36337
96,86296
97,78827
98,58863
99,85586
